Id,MSSubClass,MSZoning,LotArea,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrArea,TotalBsmtSF,HeatingQC,FullBath,HalfBath,BedroomAbvGr,GrLivArea,Fireplaces,GarageType,GarageCars,GarageArea,PoolArea,SalePrice
1,75,RM,10387,Reg,SawyerW,1Fam,2.5Unf,10,1,1907,1908,Hip,VinylSd,0.0,595.0,TA,0,2,5,1310,2,BuiltIn,1,284.0,0,255371
2,50,RL,7561,Reg,CollgCr,1Fam,1Story,4,2,2005,2010,Gable,MetalSd,0.0,1594.0,Ex,0,1,3,1716,0,Detchd,2,498.0,0,242539
3,75,RH,11201,Reg,Sawyer,1Fam,1Story,10,7,1957,1963,Gable,Wd Sdng,0.0,782.0,Gd,1,2,4,2825,0,Attchd,1,216.0,0,351204
4,70,FV,17352,IR1,Edwards,1Fam,1Story,8,6,1915,1920,Gable,VinylSd,0.0,675.0,Gd,1,1,3,1163,0,None,3,825.0,0,235859
5,120,RL,7207,Reg,NWAmes,1Fam,2Story,9,6,1971,1971,Gable,VinylSd,400.0,704.0,TA,0,0,3,2823,0,Detchd,0,0.0,0,299873
6,45,RH,7207,Reg,CollgCr,1Fam,1Story,7,6,1900,1911,Hip,HdBoard,0.0,1237.0,Gd,2,1,4,1681,1,BuiltIn,2,326.0,0,254563
7,180,FV,17847,Reg,OldTown,1Fam,1Story,5,7,2007,2010,Gable,Wd Sdng,0.0,1129.0,Ex,1,0,3,896,0,Attchd,1,247.0,0,217079
8,70,RL,11893,IR1,CollgCr,1Fam,SFoyer,8,9,1904,1915,Hip,VinylSd,0.0,734.0,Gd,3,0,4,1199,0,Attchd,0,0.0,0,196396
9,60,RH,6407,IR1,SawyerW,1Fam,2Story,4,9,1902,1920,Gable,BrkFace,200.0,909.0,Ex,1,0,4,1354,1,Attchd,2,488.0,0,189309
10,40,RL,10628,Reg,Somerst,1Fam,1Story,2,2,1964,1972,Gable,HdBoard,300.0,1002.0,Ex,0,0,5,1499,0,Attchd,2,445.0,0,187111
11,80,RL,6427,Reg,NAmes,1Fam,2Story,6,2,1903,1912,Gable,MetalSd,0.0,677.0,Po,2,1,5,1752,1,Attchd,1,242.0,0,202596
12,120,RL,6419,Reg,OldTown,Twnhs,2Story,9,5,2003,2010,Gable,HdBoard,0.0,484.0,Gd,0,0,4,803,0,Detchd,0,0.0,0,214286
13,85,RL,9145,Reg,NAmes,1Fam,1Story,1,7,1998,2010,Gable,VinylSd,0.0,1103.0,Gd,3,1,1,1912,2,Attchd,1,242.0,0,203442
14,180,RL,3113,Reg,SawyerW,1Fam,1Story,10,3,1995,2002,Gable,MetalSd,0.0,692.0,Gd,1,0,2,1317,0,Detchd,2,519.0,0,275897
15,190,RL,3420,Reg,Sawyer,1Fam,2Story,7,3,1963,1969,Gable,VinylSd,0.0,1070.0,TA,1,0,1,2743,2,Attchd,2,537.0,0,337483
16,150,RL,6117,Reg,Edwards,1Fam,2Story,10,4,2005,2010,Gable,VinylSd,0.0,1020.0,TA,0,1,4,1667,0,Detchd,3,901.0,0,329686
17,80,RL,4883,Reg,OldTown,1Fam,1Story,9,3,1997,2006,Gable,VinylSd,100.0,918.0,Gd,0,1,2,2399,1,Attchd,2,459.0,0,343868
18,160,RL,9481,Reg,Sawyer,1Fam,SFoyer,10,3,2006,2010,Gable,VinylSd,0.0,757.0,Po,3,1,5,2522,0,None,2,461.0,0,330959
19,50,RL,5146,Reg,NWAmes,1Fam,1Story,9,8,1988,2002,Hip,Wd Sdng,0.0,696.0,Ex,2,0,2,2502,1,Attchd,0,0.0,0,317224
20,75,RL,3999,Reg,Sawyer,1Fam,1Story,10,7,1909,1923,Gable,HdBoard,0.0,569.0,Gd,3,0,4,1525,0,None,0,0.0,0,252141
21,70,RM,16862,Reg,Gilbert,1Fam,2Story,3,7,1920,1947,Gable,VinylSd,100.0,702.0,TA,2,1,5,1519,1,Attchd,3,636.0,0,176234
22,80,RL,7238,IR1,OldTown,1Fam,2.5Unf,5,2,1945,1948,Gable,VinylSd,0.0,1127.0,Ex,1,1,2,1690,1,Detchd,3,786.0,0,277241
23,70,RL,8381,IR1,Sawyer,1Fam,1Story,8,9,2002,2005,Gable,HdBoard,0.0,1570.0,Ex,2,0,2,2188,1,Attchd,3,586.0,0,320043
24,45,RL,3974,Reg,Somerst,1Fam,1.5Fin,8,6,1990,2010,Gable,VinylSd,200.0,1480.0,Fa,2,2,1,1551,1,Detchd,1,251.0,0,304756
25,45,RL,6172,Reg,Somerst,1Fam,2Story,4,3,1926,1926,Hip,VinylSd,0.0,951.0,Ex,1,1,2,1744,0,Detchd,1,219.0,0,186932
26,90,RL,8565,Reg,NWAmes,1Fam,1Story,1,9,1965,1990,Hip,MetalSd,0.0,1570.0,Ex,1,1,4,1962,0,Detchd,3,638.0,0,220336
27,75,RH,4557,Reg,NAmes,1Fam,1Story,1,9,1940,1951,Gable,BrkFace,0.0,794.0,Ex,1,1,0,1378,1,Attchd,1,229.0,0,150906
28,60,RL,9777,IR2,NridgHt,1Fam,2Story,4,6,1912,1936,Gable,BrkFace,400.0,535.0,Ex,3,1,0,1352,0,Detchd,2,408.0,0,152152
